Question,Réponse A,Réponse B,Réponse C,Réponse D,Bonne réponse
Qu’est-ce que le droit de l’urbanisme ?,A. Gestion des immeubles,B. Règles sur l’occupation des sols,C. Droit des propriétaires,D. Règles de copropriété,B
Quelle loi a institué le Code de l’urbanisme ?,A. Loi SRU,B. Loi ALUR,C. Loi d'orientation foncière,D. Loi ELAN,C
Quelle est la finalité principale du droit de l’urbanisme ?,A. Organiser la gestion des immeubles,B. Préserver l’environnement et organiser l’espace urbain,C. Garantir aux citoyens un droit au logement,D. Réglementer uniquement les constructions nouvelles,B
Quels sont les principaux documents d’urbanisme en France ?,"A. PLU, SCOT, carte communale",B. Bail commercial et convention d'occupation précaire,C. Code de l’urbanisme et Code de la construction,D. Plans cadastraux et permis de construire,A
"Quelle est la différence entre un SCOT, un PLU et une carte communale ?","A. SCOT = région, PLU = commune, carte communale = rue","B. SCOT = intercommunal, PLU = communal, carte communale = simplifiée","C. SCOT fixe les zones, PLU autorise, carte communale est optionnelle",D. Pas de différence,B
Question 6 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 7 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 8 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 9 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 10 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 11 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 12 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 13 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 14 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 15 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 16 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 17 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 18 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 19 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 20 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 21 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 22 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 23 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 24 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 25 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 26 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 27 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 28 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 29 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 30 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 31 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 32 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 33 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 34 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 35 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 36 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 37 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 38 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 39 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 40 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 41 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 42 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 43 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 44 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 45 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 46 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 47 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 48 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 49 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 50 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 51 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 52 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 53 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 54 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 55 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 56 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 57 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 58 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 59 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 60 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 61 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 62 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 63 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 64 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 65 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 66 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 67 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 68 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 69 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 70 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 71 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 72 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 73 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 74 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 75 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 76 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 77 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 78 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 79 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 80 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 81 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 82 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 83 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 84 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 85 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 86 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 87 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 88 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 89 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 90 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 91 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 92 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 93 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 94 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 95 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 96 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 97 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 98 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 99 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
Question 100 ?,A. Réponse 1,B. Réponse 2,C. Réponse 3,D. Réponse 4,A
